Step,Balance,Shares Held,Net Worth,Profit
371,308.52,43.0,13665.18,3665.18
372,308.52,43.0,13726.67,3726.67
373,13384.39,0,13384.39,3384.39
374,13384.39,0,13384.39,3384.39
375,13384.39,0,13384.39,3384.39
376,13384.39,0,13384.39,3384.39
377,13384.39,0,13384.39,3384.39
378,13384.39,0,13384.39,3384.39
379,13384.39,0,13384.39,3384.39
380,13384.39,0,13384.39,3384.39
381,13384.39,0,13384.39,3384.39
382,13384.39,0,13384.39,3384.39
383,180.43,42.0,13384.39,3384.39
384,180.43,42.0,13519.21,3519.21
385,13403.71,0,13403.71,3403.71
386,13403.71,0,13403.71,3403.71
387,207.86,41.0,13403.71,3403.71
388,207.86,41.0,13360.25,3360.25
389,207.86,41.0,13398.38,3398.38
390,207.86,41.0,13504.98,3504.98
391,13533.27,0,13533.27,3533.27
392,13533.27,0,13533.27,3533.27
393,291.91,41.0,13533.27,3533.27
394,291.91,41.0,13447.99,3447.99
395,291.91,41.0,13543.93,3543.93
396,291.91,41.0,13459.88,3459.88
397,13621.83,0,13621.83,3621.83
398,13621.83,0,13621.83,3621.83
399,13621.83,0,13621.83,3621.83
400,13621.83,0,13621.83,3621.83
401,13621.83,0,13621.83,3621.83
402,13621.83,0,13621.83,3621.83
403,248.63,40.0,13621.83,3621.83
404,248.63,40.0,13631.43,3631.43
405,248.63,40.0,13671.43,3671.43
406,13560.63,0,13560.63,3560.63
407,63.03,40.0,13560.63,3560.63
408,13536.23,0,13536.23,3536.23
409,13536.23,0,13536.23,3536.23
410,13536.23,0,13536.23,3536.23
411,13536.23,0,13536.23,3536.23
412,47.03,40.0,13536.23,3536.23
413,47.03,40.0,13578.23,3578.23
414,47.03,40.0,13626.23,3626.23
415,13763.83,0,13763.83,3763.83
416,13763.83,0,13763.83,3763.83
417,13763.83,0,13763.83,3763.83
418,178.96,39.0,13763.83,3763.83
419,178.96,39.0,13851.58,3851.58
420,13802.05,0,13802.05,3802.05
421,50.65,39.0,13802.05,3802.05
422,14000.95,0,14000.95,4000.95
423,185.35,40.0,14000.95,4000.95
424,185.35,40.0,13888.15,3888.15
425,185.35,40.0,13513.75,3513.75
426,185.35,40.0,13776.95,3776.95
427,185.35,40.0,13540.95,3540.95
428,185.35,40.0,13547.75,3547.75
429,185.35,40.0,13723.75,3723.75
430,185.35,40.0,13792.15,3792.15
431,13738.15,0,13738.15,3738.15
432,13738.15,0,13738.15,3738.15
433,181.5,41.0,13738.15,3738.15
434,13587.27,0,13587.27,3587.27
435,44.97,41.0,13587.27,3587.27
436,44.97,41.0,13273.21,3273.21
437,44.97,41.0,13308.47,3308.47
438,13522.9,0,13522.9,3522.9
439,155.3,40.0,13522.9,3522.9
440,13450.1,0,13450.1,3450.1
441,54.5,40.0,13450.1,3450.1
442,13536.1,0,13536.1,3536.1
443,13536.1,0,13536.1,3536.1
444,13536.1,0,13536.1,3536.1
445,138.9,40.0,13536.1,3536.1
446,13769.3,0,13769.3,3769.3
447,18.1,40.0,13769.3,3769.3
448,18.1,40.0,13892.1,3892.1
449,18.1,40.0,14115.3,4115.3
450,18.1,40.0,14023.3,4023.3
451,18.1,40.0,13935.3,3935.3
452,18.1,40.0,13918.1,3918.1
453,18.1,40.0,13909.7,3909.7
454,18.1,40.0,13698.5,3698.5
455,18.1,40.0,13753.3,3753.3
456,13727.3,0,13727.3,3727.3
457,13727.3,0,13727.3,3727.3
458,241.88,39.0,13727.3,3727.3
459,241.88,39.0,13478.09,3478.09
460,13432.46,0,13432.46,3432.46
461,39.4,41.0,13432.46,3432.46
462,13568.58,0,13568.58,3568.58
463,13568.58,0,13568.58,3568.58
464,30.38,41.0,13568.58,3568.58
465,13807.61,0,13807.61,3807.61
466,13807.61,0,13807.61,3807.61
467,13807.61,0,13807.61,3807.61
468,13807.61,0,13807.61,3807.61
469,13807.61,0,13807.61,3807.61
470,0.05,39.0,13807.61,3807.61
471,0.05,39.0,13910.18,3910.18
472,0.05,39.0,13775.24,3775.24
473,13965.95,0,13965.95,3965.95
474,188.29,38.0,13965.95,3965.95
475,13891.85,0,13891.85,3891.85
476,353.21,38.0,13891.85,3891.85
477,353.21,38.0,13948.85,3948.85
478,13855.75,0,13855.75,3855.75
479,272.27,38.0,13855.75,3855.75
480,272.27,38.0,14074.63,4074.63
481,272.27,38.0,14053.35,4053.35
482,14091.73,0,14091.73,4091.73
483,14091.73,0,14091.73,4091.73
484,182.97,38.0,14091.73,4091.73
485,182.97,38.0,14120.99,4120.99
486,182.97,38.0,14117.19,4117.19
487,182.97,38.0,14237.27,4237.27
488,14208.39,0,14208.39,4208.39
489,14208.39,0,14208.39,4208.39
490,14208.39,0,14208.39,4208.39
491,14208.39,0,14208.39,4208.39
492,14208.39,0,14208.39,4208.39
493,351.31,38.0,14208.39,4208.39
494,351.31,38.0,14395.73,4395.73
495,351.31,38.0,14417.77,4417.77
496,351.31,38.0,14496.43,4496.43
497,351.31,38.0,14380.15,4380.15
498,351.31,38.0,14329.99,4329.99
499,14306.43,0,14306.43,4306.43
500,14306.43,0,14306.43,4306.43
501,14306.43,0,14306.43,4306.43
502,14306.43,0,14306.43,4306.43
503,14306.43,0,14306.43,4306.43
504,170.81,38.0,14306.43,4306.43
